Description,Zone,Response_Price,Profile,REF_2016,REF_2017,REF_2018,REF_2019,REF_2020,REF_2021,REF_2022,REF_2023,REF_2024,REF_2025,REF_2026,REF_2027,REF_2028,REF_2029,REF_2030,REF_2031,REF_2032,REF_2033,REF_2034,REF_2035,REF_2040,REF_2045,REF_2050,HIG_2016,HIG_2017,HIG_2018,HIG_2019,HIG_2020,HIG_2021,HIG_2022,HIG_2023,HIG_2024,HIG_2025,HIG_2026,HIG_2027,HIG_2028,HIG_2029,HIG_2030,HIG_2031,HIG_2032,HIG_2033,HIG_2034,HIG_2035,HIG_2040,HIG_2045,HIG_2050,LOW_2016,LOW_2017,LOW_2018,LOW_2019,LOW_2020,LOW_2021,LOW_2022,LOW_2023,LOW_2024,LOW_2025,LOW_2026,LOW_2027,LOW_2028,LOW_2029,LOW_2030,LOW_2031,LOW_2032,LOW_2033,LOW_2034,LOW_2035,LOW_2040,LOW_2045,LOW_2050
LTU_Transport_2,LTU,5000,D_LTU_RES,39573,41589,47237,43701,43701,43701,43701,43701,43701,43701,43701,43701,43701,43701,43701,43701,43701,43701,43701,43701,43701,43701,43701,39247,41259,46871,43701,43701,43701,43701,43701,43701,43701,43701,43701,43701,43701,43701,43701,43701,43701,43701,43701,43701,43701,43701,39247,41259,46871,43701,43701,43701,43701,43701,43701,43701,43701,43701,43701,43701,43701,43701,43701,43701,43701,43701,43701,43701,43701
LVA_Transport_1,LVA_EV,5000,D_DEFAULT_EV,29060,29697,30475,28470,37037,85736,134436,183136,231836,280536,329236,377936,426636,475336,524036,574036,624036,674036,724036,774036,1024036,1281442,1480617,28913,29545,30342,28470,37037,85736,134436,183136,231836,280536,329236,377936,426636,475336,524036,574036,624036,674036,724036,774036,1024036,1281442,1480617,28913,29545,30342,28470,37037,85736,134436,183136,427607,522187,616768,711348,805929,900510,995090,1092196,1189301,1286406,1383512,1480617,1759608,1924349,2021627
LVA_Heating,LVA,5000,D_LVA_RES,2153,1849,1849,1564,1564,1564,1564,1564,1564,1564,1564,1564,1564,1564,1564,1564,1564,1564,1564,1564,1564,1564,1564,2142,1839,1841,1564,1564,1564,1564,1564,1564,1564,1564,1564,1564,1564,1564,1564,1564,1564,1564,1564,1564,1564,1564,2142,1839,1841,1564,1564,1564,1564,1564,1564,1564,1564,1564,1564,1564,1564,1564,1564,1564,1564,1564,1564,1564,1564
LVA_Households_and_services,LVA,5000,D_LVA_RES,5069326,4971154,5048987,5005474,5005474,4978474,4951474,4924474,4897474,4870474,4843474,4816474,4789474,4762474,4735474,4817474,4899474,4981474,5063474,5145474,5555474,5743097,5787621,5043759,4945860,5026988,5005474,5005474,4978474,4951474,4924474,4897474,4870474,4843474,4816474,4789474,4762474,4735474,4817474,4899474,4981474,5063474,5145474,5555474,5743097,5787621,5043759,4945860,5026988,5005474,5005474,4978474,4951474,4924474,4969474,4960474,4951474,4942474,4933474,4924474,4915474,4997474,5079474,5161474,5243474,5325474,5735474,5923097,5967621
LVA_Industry,LVA,5000,D_LVA_RES,1775093,1875024,1950420,1950826,1930826,1947826,1944826,1941826,1938826,1935826,1932826,1929826,1926826,1923826,1920826,1926926,1933026,1939126,1945226,1951326,1981826,1995783,1999095,1767885,1867563,1943801,1950826,1930826,1947826,1944826,1941826,1938826,1935826,1932826,1929826,1926826,1923826,1920826,1926926,1933026,1939126,1945226,1951326,1981826,1995783,1999095,1767885,1867563,1943801,1950826,1930826,1947826,1944826,1941826,1946826,1945826,1944826,1943826,1942826,1941826,1940826,1946926,1953026,1959126,1965226,1971326,2001826,2015783,2019095
LVA_Transport_2,LVA,5000,D_LVA_RES,83951,82971,80381,79050,79050,79050,79050,79050,79050,79050,79050,79050,79050,79050,79050,79050,79050,79050,79050,79050,79050,79050,79050,83527,82549,80031,79050,79050,79050,79050,79050,79050,79050,79050,79050,79050,79050,79050,79050,79050,79050,79050,79050,79050,79050,79050,83527,82549,80031,79050,79050,79050,79050,79050,79050,79050,79050,79050,79050,79050,79050,79050,79050,79050,79050,79050,79050,79050,79050
NLD_Transport_1,NLD_EV,5000,D_DEFAULT_EV,225532,296604,407189,561256,908825,1244825,1580825,1916825,2252825,2588825,2928825,3268825,3608825,3948825,4288825,5155434,6022043,6888652,7755261,8621870,11974698,14569052,16576514,224826,295705,406053,561256,908825,1244825,1580825,1916825,2252825,2588825,2928825,3268825,3608825,3948825,4288825,5155434,6022043,6888652,7755261,8621870,11974698,14569052,16576514,224826,295705,406053,561256,908825,1244825,1580825,1916825,3335947,4755069,5421282,6087495,6753707,7419920,8086133,9784209,11482286,13180362,14878438,16576514,19388419,21048821,22029271
NLD_Heating,NLD,5000,D_NLD_HEAT,0,0,0,0,311109,540291,769473,998655,1227837,1457019,1899036,2341053,2783070,3225087,3667104,3667104,3667104,3667104,3667104,3667104,3667104,3667104,3667104,0,0,0,0,311109,540291,769473,998655,1227837,1457019,1899036,2341053,2783070,3225087,3667104,3667104,3667104,3667104,3667104,3667104,3667104,3667104,3667104,0,0,0,0,311109,540291,769473,998655,1227837,1457019,1899036,2341053,2783070,3225087,3667104,3667104,3667104,3667104,3667104,3667104,3667104,3667104,3667104
NLD_Households_and_services,NLD,5000,D_NLD_RES,71787191,72881063,74790476,75259077,76029077,75549113,75069149,74589186,74109222,73629258,73303241,72977224,72651207,72325190,71999173,71440564,70881955,70323346,69764737,69206128,68583300,68417392,68251484,71562572,72660100,74581685,75259077,76029077,75549113,75069149,74589186,74025222,73524258,73216241,72908224,72600207,72292190,71984173,71107564,70230955,69354346,68477737,67601128,65388300,67122392,68856484,71562572,72660100,74581685,75259077,76029077,75549113,75069149,74589186,73807395,73025604,72578856,72132109,71685361,71238613,70791865,69499115,68206365,66913614,65620864,64328114,60034579,57979153,55923727
NLD_Industry,NLD,5000,D_NLD_RES,42712500,42642605,43202589,42423526,39923526,41126526,40879526,40632526,40385526,40138526,40242526,40346526,40450526,40554526,40658526,41230526,41802526,42374526,42946526,43518526,48588526,52553526,56518526,42664006,42595572,43158794,42423526,39923526,41126526,40879526,40632526,40317926,40120326,40203526,40286726,40369926,40453126,40536326,40993926,41451526,41909126,42366726,42824326,46880326,50052326,53224326,42664006,42595572,43158794,42423526,39923526,41126526,40879526,40632526,41588026,42543526,43128526,43713526,44298526,44883526,45468526,46723026,47977526,49232026,50486526,51741026,60223526,68608526,76993526
NLD_Transport_2,NLD,5000,D_NLD_RES,1717714,1654054,1704495,1707216,1707216,1707216,1707216,1707216,1707216,1707216,1707216,1707216,1707216,1707216,1707216,1707216,1707216,1707216,1707216,1707216,1707216,1707216,1707216,1712340,1649039,1699737,1707216,1707216,1707216,1707216,1707216,1707216,1707216,1707216,1707216,1707216,1707216,1707216,1707216,1707216,1707216,1707216,1707216,1707216,1707216,1707216,1712340,1649039,1699737,1707216,1707216,1707216,1707216,1707216,1707216,1707216,1707216,1707216,1707216,1707216,1707216,1707216,1707216,1707216,1707216,1707216,1707216,1707216,1707216
NO1_Transport_1,NO1_EV,5000,D_DEFAULT_EV,0,0,0,0,444472,640100,802110,969677,1140270,1316939,1501206,1689595,1878967,2071671,2269573,2455662,2631024,2791255,2935689,3062635,3472841,3644563,3580915,0,0,0,0,444472,640100,802110,969677,1140270,1316939,1501206,1689595,1878967,2071671,2269573,2455662,2631024,2791255,2935689,3062635,3472841,3644563,3580915,0,0,0,0,444472,640100,802110,969677,1140270,1316939,1501206,1689595,1878967,2071671,2269573,2455662,2631024,2791255,2935689,3062635,3472841,3644563,3580915
NO1_Industry_1,NO1,5000,D_DEFAULT_Flat,0,0,0,2694433,2622213,2657954,2693695,2814320,2862123,3215926,3263730,3311533,3359336,3407140,3454943,3553364,3651785,3750206,3800824,3851441,3851441,3896285,3941129,0,0,0,2694433,2622213,2657954,2693695,2814320,2862123,3215926,3263730,3311533,3359336,3407140,3454943,3553364,3651785,3750206,3800824,3851441,3851441,3851441,3851441,0,0,0,2694433,2622213,2657954,2693695,2814320,2862123,3215926,3263730,3311533,3359336,3407140,3454943,3553364,3651785,3750206,3800824,3851441,3851441,3941129,4030817
NO1_Households_and_services,NO1,5000,D_NO1_NONIND,0,0,0,29948868,29924442,29903703,29886653,29873291,29863620,29857641,29855356,29856767,29861879,29870695,29883219,29899455,29919409,29943086,29970493,30001635,30213657,30520361,30923140,0,0,0,29948868,29924442,29903703,29886653,29873291,29863620,29857641,29855356,29856767,29861879,29870695,29883219,29899455,29919409,29943086,29970493,30001635,30213657,30520361,30923140,0,0,0,29948868,29924442,29903703,29886653,29873291,29863620,29857641,29855356,29856767,29861879,29870695,29883219,29899455,29919409,29943086,29970493,30001635,30213657,30520361,30923140
NO1_Industry_2,NO1,5000,D_NO1_NONIND,0,0,0,3107043,3107043,3107043,3107043,3107043,3107043,3107043,3107043,3107043,3107043,3107043,3107043,3107043,3107043,3107043,3107043,3107043,3107043,3107043,3107043,0,0,0,3107043,3107043,3107043,3107043,3107043,3107043,3107043,3107043,3107043,3107043,3107043,3107043,3107043,3107043,3107043,3107043,3107043,3107043,3107043,3107043,0,0,0,3107043,3107043,3107043,3107043,3107043,3107043,3107043,3107043,3107043,3107043,3107043,3107043,3107043,3107043,3107043,3107043,3107043,3107043,3107043,3107043
NO1_Transport_2,NO1,5000,D_NO1_NONIND,0,0,0,0,385087,480405,584036,704903,833520,969632,1123391,1289036,1459097,1631819,1805724,1913459,2022322,2136167,2249041,2359624,2880606,3257731,3502622,0,0,0,0,385087,480405,584036,704903,833520,969632,1123391,1289036,1459097,1631819,1805724,1913459,2022322,2136167,2249041,2359624,2880606,3257731,3502622,0,0,0,0,385087,480405,584036,704903,833520,969632,1123391,1289036,1459097,1631819,1805724,1913459,2022322,2136167,2249041,2359624,2880606,3257731,3502622
NO2_Transport_1,NO2_EV,5000,D_DEFAULT_EV,0,0,0,0,196868,285589,360497,439014,520060,605086,694877,787912,882780,980627,1082401,1180009,1273873,1361750,1443166,1517128,1788155,1952051,1996738,0,0,0,0,196868,285589,360497,439014,520060,605086,694877,787912,882780,980627,1082401,1180009,1273873,1361750,1443166,1517128,1788155,1952051,1996738,0,0,0,0,196868,285589,360497,439014,520060,605086,694877,787912,882780,980627,1082401,1180009,1273873,1361750,1443166,1517128,1788155,1952051,1996738
NO2_Industry_1,NO2,5000,D_DEFAULT_Flat,0,0,0,14623206,14670541,14972565,15220468,15969792,17539814,20245711,22343182,23149962,23675203,24200444,24984519,25909273,26681228,27123926,27569501,27975028,29806909,30058672,29870404,0,0,0,14623206,14670541,14972565,15220468,15969792,17199134,19607191,20513302,21320082,21845323,22370564,22895805,23544801,23988736,24432669,24876604,25320539,27159293,27561377,27561377,0,0,0,14623206,14670541,14972565,15220468,15969792,17567330,20347966,22794378,24349203,24818131,25139857,25580645,26195598,26680760,27123791,27569463,27975018,29806909,30298246,30349552
NO2_Households_and_services,NO2,5000,D_NO2_NONIND,0,0,0,17461351,17434918,17410453,17387956,17367425,17348862,17332267,17317640,17304982,17294295,17285579,17278836,17274070,17271280,17270471,17271646,17274806,17320522,17416505,17563448,0,0,0,17461351,17434918,17410453,17387956,17367425,17348862,17332267,17317640,17304982,17294295,17285579,17278836,17274070,17271280,17270471,17271646,17274806,17320522,17416505,17563448,0,0,0,17461351,17434918,17410453,17387956,17367425,17348862,17332267,17317640,17304982,17294295,17285579,17278836,17274070,17271280,17270471,17271646,17274806,17320522,17416505,17563448
NO2_Industry_2,NO2,5000,D_NO2_NONIND,0,0,0,3106947,3106947,3106947,3106947,3106947,3106947,3106947,3106947,3106947,3106947,3106947,3106947,3106947,3106947,3106947,3106947,3106947,3106947,3106947,3106947,0,0,0,3106947,3106947,3106947,3106947,3106947,3106947,3106947,3106947,3106947,3106947,3106947,3106947,3106947,3106947,3106947,3106947,3106947,3106947,3106947,3106947,0,0,0,3106947,3106947,3106947,3106947,3106947,3106947,3106947,3106947,3106947,3106947,3106947,3106947,3106947,3106947,3106947,3106947,3106947,3106947,3106947,3106947
NO2_Transport_2,NO2,5000,D_NO2_NONIND,0,0,0,0,151628,198352,244441,292903,343522,396513,453743,514720,578382,644538,713061,749829,788507,830010,873013,917185,1156642,1396356,1630508,0,0,0,0,151628,198352,244441,292903,343522,396513,453743,514720,578382,644538,713061,749829,788507,830010,873013,917185,1156642,1396356,1630508,0,0,0,0,151628,198352,244441,292903,343522,396513,453743,514720,578382,644538,713061,749829,788507,830010,873013,917185,1156642,1396356,1630508
NO3_Transport_1,NO3_EV,5000,D_DEFAULT_EV,0,0,0,0,91411,134491,172137,212503,255123,300763,349889,401810,455854,512647,572742,631872,690179,746356,800021,850490,1057570,1213542,1300560,0,0,0,0,91411,134491,172137,212503,255123,300763,349889,401810,455854,512647,572742,631872,690179,746356,800021,850490,1057570,1213542,1300560,0,0,0,0,91411,134491,172137,212503,255123,300763,349889,401810,455854,512647,572742,631872,690179,746356,800021,850490,1057570,1213542,1300560
NO3_Industry_1,NO3,5000,D_DEFAULT_Flat,0,0,0,12838115,14067862,14636711,14761716,14656868,14581468,14862718,15410009,15315786,17267922,17227362,17556258,17893996,18192688,18086011,18024336,17948382,17436538,17306378,17390050,0,0,0,12838115,14067862,14636711,14761716,14656868,14581468,14862718,15410009,15315786,17267922,17227362,17234106,17228630,17199500,17176284,17200371,17242199,17077465,16923726,16923726,0,0,0,12838115,14067862,14636711,14761716,14656868,14594017,14908762,15612531,15732301,17572909,18061237,18200263,18222077,18191674,18085720,18024254,17948361,17436538,17539541,17856375
NO3_Households_and_services,NO3,5000,D_NO3_NONIND,0,0,0,11553117,11530603,11509473,11489729,11471368,11454391,11438799,11424592,11411770,11400334,11390285,11381624,11374353,11368473,11363986,11360894,11359199,11371765,11419691,11503469,0,0,0,11553117,11530603,11509473,11489729,11471368,11454391,11438799,11424592,11411770,11400334,11390285,11381624,11374353,11368473,11363986,11360894,11359199,11371765,11419691,11503469,0,0,0,11553117,11530603,11509473,11489729,11471368,11454391,11438799,11424592,11411770,11400334,11390285,11381624,11374353,11368473,11363986,11360894,11359199,11371765,11419691,11503469
NO3_Industry_2,NO3,5000,D_NO3_NONIND,0,0,0,1881728,1881728,1881728,1881728,1881728,1881728,1881728,1881728,1881728,1881728,1881728,1881728,1881728,1881728,1881728,1881728,1881728,1881728,1881728,1881728,0,0,0,1881728,1881728,1881728,1881728,1881728,1881728,1881728,1881728,1881728,1881728,1881728,1881728,1881728,1881728,1881728,1881728,1881728,1881728,1881728,1881728,0,0,0,1881728,1881728,1881728,1881728,1881728,1881728,1881728,1881728,1881728,1881728,1881728,1881728,1881728,1881728,1881728,1881728,1881728,1881728,1881728,1881728
NO3_Transport_2,NO3,5000,D_NO3_NONIND,0,0,0,0,82034,107227,140081,176148,214147,254181,297633,344081,392727,443335,495609,525670,557110,590507,625022,660322,847095,1026892,1190515,0,0,0,0,82034,107227,140081,176148,214147,254181,297633,344081,392727,443335,495609,525670,557110,590507,625022,660322,847095,1026892,1190515,0,0,0,0,82034,107227,140081,176148,214147,254181,297633,344081,392727,443335,495609,525670,557110,590507,625022,660322,847095,1026892,1190515
NO4_Transport_1,NO4_EV,5000,D_DEFAULT_EV,0,0,0,0,28582,43922,58536,75037,93316,113701,136440,161334,188153,217188,248723,280919,313766,346592,379117,410906,556299,684357,777352,0,0,0,0,28582,43922,58536,75037,93316,113701,136440,161334,188153,217188,248723,280919,313766,346592,379117,410906,556299,684357,777352,0,0,0,0,28582,43922,58536,75037,93316,113701,136440,161334,188153,217188,248723,280919,313766,346592,379117,410906,556299,684357,777352
NO4_Industry_1,NO4,5000,D_DEFAULT_Flat,0,0,0,8798346,8151411,9552752,9552752,9775994,10460695,11286723,11679729,12715436,13868040,14173020,14522547,14602314,14686990,14714923,14743052,14765195,14593811,14674266,14753643,0,0,0,8798346,8151411,9552752,9552752,9775994,10460695,11286723,11679729,12715436,13868040,14173020,14478000,14510308,14542616,14574924,14607231,14639540,14486540,14486540,14486540,0,0,0,8798346,8151411,9552752,9552752,9775994,10470589,11323024,11839398,13043816,14108492,14347827,14628979,14652700,14687650,14715113,14743105,14765209,14593811,14807818,15020746
NO4_Households_and_services,NO4,5000,D_NO4_NONIND,0,0,0,9434212,9408143,9383200,9359380,9336686,9315115,9294669,9275347,9257150,9240079,9224135,9209317,9195628,9183069,9171640,9161345,9152183,9123461,9123449,9152551,0,0,0,9434212,9408143,9383200,9359380,9336686,9315115,9294669,9275347,9257150,9240079,9224135,9209317,9195628,9183069,9171640,9161345,9152183,9123461,9123449,9152551,0,0,0,9434212,9408143,9383200,9359380,9336686,9315115,9294669,9275347,9257150,9240079,9224135,9209317,9195628,9183069,9171640,9161345,9152183,9123461,9123449,9152551
NO4_Industry_2,NO4,5000,D_NO4_NONIND,0,0,0,896390,896390,896390,896390,896390,896390,896390,896390,896390,896390,896390,896390,896390,896390,896390,896390,896390,896390,896390,896390,0,0,0,896390,896390,896390,896390,896390,896390,896390,896390,896390,896390,896390,896390,896390,896390,896390,896390,896390,896390,896390,896390,0,0,0,896390,896390,896390,896390,896390,896390,896390,896390,896390,896390,896390,896390,896390,896390,896390,896390,896390,896390,896390,896390
NO4_Transport_2,NO4,5000,D_NO4_NONIND,0,0,0,0,1325,19394,38153,58239,79583,102278,127064,153756,181971,211643,242736,258816,275868,294272,313535,333543,445176,563274,684282,0,0,0,0,1325,19394,38153,58239,79583,102278,127064,153756,181971,211643,242736,258816,275868,294272,313535,333543,445176,563274,684282,0,0,0,0,1325,19394,38153,58239,79583,102278,127064,153756,181971,211643,242736,258816,275868,294272,313535,333543,445176,563274,684282
NO5_Transport_1,NO5_EV,5000,D_DEFAULT_EV,0,0,0,0,111281,159208,198171,237942,277868,318660,360644,402941,444773,486677,529057,567938,603622,635155,662460,685239,742583,740981,688044,0,0,0,0,111281,159208,198171,237942,277868,318660,360644,402941,444773,486677,529057,567938,603622,635155,662460,685239,742583,740981,688044,0,0,0,0,111281,159208,198171,237942,277868,318660,360644,402941,444773,486677,529057,567938,603622,635155,662460,685239,742583,740981,688044
NO5_Industry,NO5,5000,D_DEFAULT_Flat,0,0,0,8149000,8397313,8397313,8397313,8558879,9066752,10935386,10916379,12122863,12186613,12250363,12989174,13754518,14593535,14561320,14532031,14410055,14193335,13481062,12747723,0,0,0,8149000,8397313,8397313,8397313,8558879,9066752,10935386,10916379,12122863,12186613,12250363,12314113,12345088,12376062,12407037,12438012,12468986,12519986,12519986,12519986,0,0,0,8149000,8397313,8397313,8397313,8558879,9118793,11158787,12040992,14763379,14947011,14615149,14519012,14497325,14594357,14561556,14532098,14410072,14193335,13594931,12975460
NO5_Households_and_services,NO5,5000,D_NO5_NONIND,0,0,0,7206856,7193212,7180388,7168384,7157199,7146833,7137286,7128559,7120652,7113565,7107299,7101854,7097232,7093434,7090459,7088310,7086987,7092827,7119587,7167557,0,0,0,7206856,7193212,7180388,7168384,7157199,7146833,7137286,7128559,7120652,7113565,7107299,7101854,7097232,7093434,7090459,7088310,7086987,7092827,7119587,7167557,0,0,0,7206856,7193212,7180388,7168384,7157199,7146833,7137286,7128559,7120652,7113565,7107299,7101854,7097232,7093434,7090459,7088310,7086987,7092827,7119587,7167557
NO5_Transport_2,NO5,5000,D_NO5_NONIND,0,0,0,0,86231,118036,148596,180810,213347,246241,280436,315563,350989,386652,422444,436277,450433,465314,480277,495181,569392,632431,684776,0,0,0,0,86231,118036,148596,180810,213347,246241,280436,315563,350989,386652,422444,436277,450433,465314,480277,495181,569392,632431,684776,0,0,0,0,86231,118036,148596,180810,213347,246241,280436,315563,350989,386652,422444,436277,450433,465314,480277,495181,569392,632431,684776
POL_Transport_1,POL_EV,5000,D_DEFAULT_EV,26963,28678,30102,35095,99208,163321,469555,998242,1527076,2320248,2829868,6065548,9139444,12059645,14833836,17218621,19603406,21988190,24372975,26757760,35984264,43123558,48647807,26818,28510,29972,35095,99208,163321,469555,998242,1659245,2320248,2829868,6065548,9139444,12059645,14833836,17218621,19603406,21988190,24372975,26757760,35984264,43123558,48647807,26818,28510,29972,35095,99208,163321,469555,998242,2630364,4262485,5188096,11064991,16648042,21951940,26990643,31322076,35653509,39984941,44316374,48647807,56385769,60954958,63653019
POL_Heating,POL,5000,D_POL_HEAT,539,649,578,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,536,645,575,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,536,645,575,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356
POL_Households_and_services,POL,5000,D_POL_RES,84492926,84312416,86182351,85924860,85824860,86124860,88024860,89224860,90024860,90524860,91124860,89624860,88724860,88224860,88024860,89564860,91104860,92644860,94184860,95724860,104824860,95174860,85524860,84037206,83819338,85809121,85924860,85824860,86124860,88024860,89224860,88974860,88724860,89224860,87624860,86624860,86024860,85724860,86524860,87324860,88124860,88924860,89724860,95424860,90774860,86124860,84037206,83819338,85809121,85924860,85824860,86124860,88024860,89224860,91149860,93074860,94184860,93194860,92804860,92814860,93124860,94304860,95484860,96664860,97844860,99024860,106324860,104174860,102024860
POL_Industry,POL,5000,D_POL_RES,65219437,68509536,70399191,71376877,68866877,71406877,72276877,73656877,75396877,77346877,79536877,81096877,82296877,83286877,84186877,85026877,85866877,86706877,87546877,88386877,96696877,105861877,115026877,65036263,68302957,70240541,71376877,68866877,71406877,72276877,73656877,74166877,74676877,76026877,76746877,77016877,77076877,76986877,77316877,77646877,77976877,78306877,78636877,82926877,85941877,88956877,65036263,68302957,70240541,71376877,68866877,71406877,72276877,73656877,76726877,79796877,82476877,84526877,86216877,87696877,89086877,90416877,91746877,93076877,94406877,95736877,106496877,118111877,129726877
POL_Transport_2,POL,5000,D_POL_RES,3518134,3570185,3680694,3616128,3616128,3616128,3616128,3616128,3616128,3616128,3616128,3616128,3616128,3616128,3616128,3616128,3616128,3616128,3616128,3616128,3616128,3616128,3616128,3499159,3549305,3664754,3616128,3616128,3616128,3616128,3616128,3616128,3616128,3616128,3616128,3616128,3616128,3616128,3616128,3616128,3616128,3616128,3616128,3616128,3616128,3616128,3499159,3549305,3664754,3616128,3616128,3616128,3616128,3616128,3616128,3616128,3616128,3616128,3616128,3616128,3616128,3616128,3616128,3616128,3616128,3616128,3616128,3616128,3616128
PRT_Households_and_services,PRT,5000,D_ESP_RES,34129687,33949010,34980613,34477600,34477600,33477600,32477600,31477600,30477600,29477600,28477600,27477600,26477600,25477600,24477600,25277600,26077600,26877600,27677600,28477600,32477600,34477600,36477600,33701196,33489801,34540804,34477600,34477600,33477600,32477600,31477600,30477600,29477600,28477600,27477600,26477600,25477600,24477600,25277600,26077600,26877600,27677600,28477600,32477600,34477600,36477600,33701196,33489801,34540804,34477600,34477600,33477600,32477600,31477600,30477600,29477600,28477600,27477600,26477600,25477600,24477600,25277600,26077600,26877600,27677600,28477600,32477600,34477600,36477600
PRT_Industry,PRT,5000,D_ESP_RES,17644846,18263281,18424111,18725079,18160079,18866829,19008579,19150329,19292079,19433829,19575579,19717329,19859079,20000829,20142579,20483829,20825079,21166329,21507579,21848829,23555079,27035079,30515079,17550815,18158897,18324794,18725079,18160079,18866829,19008579,19150329,19040079,19118829,19197579,19276329,19355079,19433829,19512579,19819329,20126079,20432829,20739579,21046329,22580079,25287579,27995079,17550815,18158897,18324794,18725079,18160079,18866829,19008579,19150329,19541079,19745079,19949079,20153079,20357079,20561079,20765079,21140079,21515079,21890079,22265079,22640079,24515079,28767579,33020079
PRT_Transport_1,PRT,5000,D_ESP_RES,484785,546686,546271,542241,542241,542241,542241,542241,542241,542241,542241,542241,542241,542241,542241,542241,542241,542241,542241,542241,542241,542241,542241,478699,539292,539403,542241,542241,542241,542241,542241,542241,542241,542241,542241,542241,542241,542241,542241,542241,542241,542241,542241,542241,542241,542241,478699,539292,539403,542241,542241,542241,542241,542241,542241,542241,542241,542241,542241,542241,542241,542241,542241,542241,542241,542241,542241,542241,542241
PRT_Transport_2,PRT_EV,5000,D_DEFAULT_EV,1126,2412,6011,13238,370382,1203382,2036382,2869382,3702382,4535382,5368382,6201382,7034382,7867382,8700382,9473382,10246382,11019382,11792382,12565382,16430382,16835382,17240382,1112,2379,5935,13238,370382,1203382,2036382,2869382,3702382,4535382,5368382,6201382,7034382,7867382,8700382,9461382,10222382,10983382,11744382,12505382,16310382,16495382,16680382,1112,2379,5935,13238,370382,1203382,2036382,2869382,3702382,4535382,5368382,6201382,7034382,7867382,8700382,9486382,10272382,11058382,11844382,12630382,16560382,17180382,17800382
PRT_Heating,PRT,5000,D_ESP_HEAT,0,0,0,0,0,60000,120000,180000,240000,300000,334000,368000,402000,436000,470000,485559,501118,516677,532236,547795,566256,570637,571677,0,0,0,0,0,60000,120000,180000,240000,300000,334000,368000,402000,436000,470000,485559,501118,516677,532236,547795,566256,570637,571677,0,0,0,0,0,60000,120000,180000,240000,300000,334000,368000,402000,436000,470000,485559,501118,516677,532236,547795,566256,570637,571677
SE1_Transport,SE1_EV,5000,D_DEFAULT_EV,0,0,0,7571,17431,22464,29282,50251,71221,92190,132872,173554,214236,254918,295599,341170,386740,432310,477881,523451,773316,873421,984531,0,0,0,7571,17431,22464,29282,50251,71221,92190,108468,124746,141024,157302,173580,193645,213710,233774,253839,273904,407507,549081,686396,0,0,0,7571,17431,22464,29282,50251,71221,92190,132872,173554,214236,254918,295599,341170,386740,432310,477881,523451,773316,873421,984531
SE1_Industry,SE1,5000,D_DEFAULT_Flat,0,0,4402915,5538219,5538219,7330329,7797162,8930827,9730827,11985442,13363388,14741334,16119280,17497225,18875171,19614004,20352836,21091669,21830502,22569334,26263498,29957661,30251825,0,0,0,5538219,5538219,7330329,7797162,8930827,9730827,11930101,13296979,14663857,16030735,17397611,18764489,19016254,19268019,19519783,19771547,20023312,21282135,22540957,22779781,0,0,0,5538219,5538219,7330329,7797162,8930827,9730827,12040783,13429797,14818811,16207825,17596838,18985852,19735754,20485654,21235555,21985456,22735356,26484862,30234365,30583869
SE1_Heating,SE1,5000,D_SE1_HEAT,0,0,0,210,245,1475,2729,4009,5314,6645,8002,9387,10800,12240,15936,19632,23328,27025,30721,34417,60844,62065,62065,0,0,0,210,245,1475,2729,4009,5314,6645,8002,9387,10800,12240,15936,19632,23328,27025,30721,34417,60844,62065,62065,0,0,0,210,245,1475,2729,4009,5314,6645,8002,9387,10800,12240,15936,19632,23328,27025,30721,34417,60844,62065,62065
SE1_Households_and_services,SE1,5000,D_SE1_NONIND,0,0,4685237,4117770,4417370,4036316,4041672,4022743,4003814,3984886,3950517,3916148,3881779,3847410,3813041,3815612,3818184,3820755,3823327,3825898,3778253,3797265,3860175,0,0,0,4117770,4417370,4036316,4041672,4022743,4003814,3984886,3964827,3944768,3924709,3904650,3884591,3883928,3883265,3882602,3881939,3881277,3788809,3769757,3869535,0,0,0,4117770,4417370,4036316,4041672,4022743,4003814,3984886,3950517,3916148,3881779,3847410,3813041,3815612,3818184,3820755,3823327,3825898,3778253,3797265,3860175
SE2_Transport,SE2_EV,5000,D_DEFAULT_EV,0,0,0,26489,60987,45679,59544,102184,144824,187464,270189,352913,435638,518363,601087,693752,786417,879082,971747,1064412,1572501,1776060,2001997,0,0,0,26489,60987,45679,59544,102184,144824,187464,220565,253665,286766,319867,352968,393768,434569,475369,516170,556970,828646,1116530,1395753,0,0,0,26489,60987,45679,59544,102184,144824,187464,270189,352913,435638,518363,601087,693752,786417,879082,971747,1064412,1572501,1776060,2001997
