Description,Zone,Response_Price,Profile,REF_2016,REF_2017,REF_2018,REF_2019,REF_2020,REF_2021,REF_2022,REF_2023,REF_2024,REF_2025,REF_2026,REF_2027,REF_2028,REF_2029,REF_2030,REF_2031,REF_2032,REF_2033,REF_2034,REF_2035,REF_2040,REF_2045,REF_2050,HIG_2016,HIG_2017,HIG_2018,HIG_2019,HIG_2020,HIG_2021,HIG_2022,HIG_2023,HIG_2024,HIG_2025,HIG_2026,HIG_2027,HIG_2028,HIG_2029,HIG_2030,HIG_2031,HIG_2032,HIG_2033,HIG_2034,HIG_2035,HIG_2040,HIG_2045,HIG_2050,LOW_2016,LOW_2017,LOW_2018,LOW_2019,LOW_2020,LOW_2021,LOW_2022,LOW_2023,LOW_2024,LOW_2025,LOW_2026,LOW_2027,LOW_2028,LOW_2029,LOW_2030,LOW_2031,LOW_2032,LOW_2033,LOW_2034,LOW_2035,LOW_2040,LOW_2045,LOW_2050
DEU_Industry,DEU,5000,D_DEU_RES,255995617,256944969,255345844,246897790,242147790,254811230,259724670,264600000,269600000,274500000,279000000,283500000,288000000,292500000,297000000,302184657,307369314,312553970,317738627,322923284,325437117,327950951,330464784,255640476,256552324,254953502,246897790,242147790,255149830,260063270,264600000,269600000,269920185,273255593,276591000,279926408,283261815,286597223,289423623,292250023,295076423,297902823,300729223,300649854,303963470,307866030,255995617,256944969,255345844,246897790,242147790,254811230,259724670,264600000,271363355,277750000,283788616,289827231,295865847,301904463,307943078,309567441,311191804,312816167,314440530,316064892,323499748,332999568,341467261
DEU_Transport_1,DEU,5000,D_DEU_RES,12453299,12674608,12738337,12156675,12156675,12156675,12156675,12168858,12184497,12183556,14495390,16287747,17718035,18885899,19857495,19727324,19615881,19519397,19435049,19360682,14589223,12980122,12408510,12413765,12630336,12694078,12156675,12156675,12156675,12156675,12168858,12184497,11932116,12115975,12271828,12405621,12521728,12623439,12771665,12903539,13021626,13127981,13224269,13005832,13052067,13196515,12453299,12674608,12738337,12156675,12156675,12156675,12156675,12168858,12434865,12278242,12584852,12790463,12937923,13048845,13135312,13092119,13056728,13027201,13002192,12980737,13147568,13389134,13705606
DEU_Transport_2,DEU_EV,5000,D_DEFAULT_EV,115158,167817,242483,361085,845507,1915507,2664507,3631142,4815503,6316444,10704610,15612253,20881965,26414101,32142505,36272676,40384119,44480603,48564951,52639318,67544111,79286545,89991490,114791,167228,241637,361085,845507,1915507,2664507,3631142,4815503,6186087,7934354,9710627,11508960,13324978,15155393,17075750,19012459,20962955,22925183,24897477,51798548,73191578,90594241,115158,167817,242483,361085,845507,1915507,2664507,3631142,13173428,17039886,24845902,32752916,40718082,48719786,56745945,64237337,71720926,79198652,86671860,94141514,116421279,131230456,141990703
DEU_Heating,DEU,5000,D_DEU_HEAT,0,0,0,0,1140000,2531000,3922000,5289251,6684403,9855185,13643713,17451576,21272717,25103370,28781420,33169314,34338627,35507941,36677254,33694164,39019782,44665376,50022973,0,0,0,0,1140000,2531000,3922000,5289251,6684403,7945469,8389557,8832105,9273303,9713309,10072439,12427234,13096516,13765798,14435080,12297800,12880446,13113368,13303392,0,0,0,0,1140000,2531000,3922000,5289251,6744630,8175950,10958444,13747603,16540378,19335333,22042241,26572250,29348399,32124548,34900697,34921967,41338932,43744496,45066171
DK1_Heating_1,DK1,45,D_DK1_BOILER,0,0,530247,658157,816923,1013988,1258590,1258590,1502550,1566750,1618110,1723135,1781982,1877527,1903207,1909627,1909627,1948147,2005927,2018767,2121487,2121487,2121487,0,0,0,658157,816923,1013988,1258590,1258590,1502550,1566750,1618110,1723135,1781982,1877527,1903207,1909627,1909627,1948147,2005927,2018767,2121487,2121487,2121487,0,0,0,658157,816923,1013988,1258590,1258590,1412670,1566750,1618110,1723135,1781982,1877527,1903207,1909627,1909627,1948147,2005927,2018767,2121487,2121487,2121487
DK1_Households_and_services,DK1,5000,D_DK1_RES,0,0,18382006,18617907,18857304,19100254,19346821,19593387,19839953,20086520,20289582,20492644,20695706,20898769,21101830,21230025,21358222,21486417,21614612,21759712,22532112,23101461,23437657,0,0,0,18617907,18857304,19100254,19346821,19593387,19839953,20086520,20289582,20492644,20695706,20898769,21101830,21230025,21358222,21486417,21614612,21759712,22532112,23101461,23437657,0,0,0,18617907,18857304,19100254,19346821,19593387,19839954,20086520,20289582,20492644,20695706,20898769,21101830,21230025,21358222,21486417,21614612,21759712,22532112,23101461,23437657
DK1_Transport_1,DK1,5000,D_DK1_RES,0,0,178123,180079,183145,188098,196294,207216,269330,288746,313337,435766,518534,583360,654726,720719,793004,871435,956005,1046843,1367378,1601299,1739427,0,0,0,180079,183145,188098,196294,207216,269330,288746,313337,435766,518534,583360,654726,720719,793004,871435,956005,1046843,1367378,1601299,1739427,0,0,0,180079,183145,188098,196294,207216,247981,288746,313337,435766,518534,583360,654726,720719,793004,871435,956005,1046843,1367378,1601299,1739427
DK1_Transport_2,DK1_EV,5000,D_DEFAULT_EV,0,0,26114,42462,69044,112268,182551,267610,370323,494287,640212,811263,1008660,1235917,1502315,1806898,2144949,2515222,2915443,3348764,5200996,6543296,7335910,0,0,0,42462,69044,112268,182551,267610,200200,282997,390370,525617,692010,892539,1130354,1417633,1704913,1992192,2279472,2566751,3956240,4225453,4233866,0,0,0,42462,69044,112268,182551,267610,610803,953996,1135549,1317102,1498654,1680207,1861760,2113917,2366074,2618232,2915443,3348764,5200996,6543296,7335910
DK1_Industry,DK1,5000,D_DEFAULT_Flat,0,0,132205,253192,484899,928653,1778506,2493231,3365364,4160481,4960627,5679239,6257253,6858700,7405470,7438212,7470954,7503696,7536438,7569180,7732890,7853564,7924820,0,0,0,253192,484899,928653,1778506,2493231,3365364,3666832,4133409,4497922,4810362,5138424,5430035,5579485,5728936,5878386,6027837,6177287,6724057,6974269,7033645,0,0,0,253192,484899,928653,1778506,2493231,3326856,4160481,4960627,5679239,6257253,6858700,7405470,7734923,8064376,8393829,8723282,9052735,10700000,11012764,11086985
DK1_Heating_2,DK1,160,D_DK1_HEAT,0,0,212575,256789,331914,459049,679321,788767,998406,1345208,1648571,1968738,2160914,2283715,2424844,2539848,2572910,2660881,2722868,2818698,3124574,3255147,3332249,0,0,0,256789,331914,459049,679321,788767,998406,1345208,1496890,1656973,1753061,1814462,1885026,1942528,1959059,2003045,2034038,2081953,2234891,2300178,2338729,0,0,0,256789,331914,459049,679321,788767,1066988,1345208,1678907,2031091,2242485,2377566,2532808,2659312,2695680,2792448,2860634,2966047,3302511,3446141,3530953
DK1_Heating_3,DK1,5000,D_DK1_HEAT,0,0,1490809,1357945,1323508,1380239,1540161,1700083,1860004,2019926,2225629,2431332,2637035,2842737,3048440,3254143,3459846,3665549,3871252,4076955,4799922,5332836,5647517,0,0,0,1357945,1323508,1380239,1540161,1700083,1860004,2019926,2122778,2225629,2328481,2431332,2534183,2637035,2739886,2842738,2945589,3048441,3409924,3676381,3833722,0,0,0,1357945,1323508,1380239,1540161,1700083,1860005,2019926,2246199,2472473,2698746,2925018,3151291,3377565,3603838,3830111,4056385,4282658,5077922,5664127,6010276
DK2_Heating_1,DK2,40,D_DK2_BOILER,0,0,170817,183618,197378,212170,228070,240790,247150,269410,298030,304390,310750,310750,342550,345730,383890,383890,383890,390250,396610,396610,396610,0,0,0,183618,197378,212170,228070,240790,247150,269410,298030,304390,310750,310750,342550,345730,383890,383890,383890,390250,396610,396610,396610,0,0,0,183618,197378,212170,228070,240790,255100,269410,298030,304390,310750,310750,342550,345730,383890,383890,383890,390250,396610,396610,396610
DK2_Households_and_services,DK2,5000,D_DK2_RES,0,0,12140142,12295938,12454044,12614498,12777340,12940181,13103022,13265864,13399973,13534083,13668192,13802301,13936412,14021076,14105741,14190406,14275071,14370899,14881021,15257040,15479075,0,0,0,12295938,12454044,12614498,12777340,12940181,13103022,13265864,13399973,13534083,13668192,13802301,13936412,14021076,14105741,14190406,14275071,14370899,14881021,15257040,15479075,0,0,0,12295938,12454044,12614498,12777340,12940181,13103023,13265864,13399973,13534083,13668192,13802301,13936412,14021076,14105741,14190406,14275071,14370899,14881021,15257040,15479075
DK2_Transport_1,DK2,5000,D_DK2_RES,0,0,389235,395102,403564,415839,433715,453874,535127,560366,589278,690185,841085,889425,942128,974391,1001241,1022427,1037876,1047616,1238965,1375817,1456625,0,0,0,395102,403564,415839,433715,453874,535127,560366,589278,690185,841085,889425,942128,974391,1001241,1022427,1037876,1047616,1238965,1375817,1456625,0,0,0,395102,403564,415839,433715,453874,507120,560366,589278,690185,841085,889425,942128,974391,1001241,1022427,1037876,1047616,1238965,1375817,1456625
DK2_Transport_2,DK2_EV,5000,D_DEFAULT_EV,0,0,34401,53968,84665,132821,208368,294730,393556,506909,633588,774780,929575,1099087,1289071,1495831,1712967,1937452,2165762,2398612,3725306,4686752,5254476,0,0,0,53968,84665,132821,208368,294730,291425,411951,568250,765125,929575,1099087,1289071,1495831,1712967,1937452,2165762,2398612,3725306,4686752,5254476,0,0,0,53968,84665,132821,208368,294730,841717,1388704,1652985,1917266,2181547,2445828,2710109,3077167,3444225,3811282,4178340,4545398,6062376,6356290,6365475
DK2_Industry,DK2,5000,D_DEFAULT_Flat,0,0,2467,5962,14409,34821,84151,178167,388254,677268,943069,1151995,1346412,1532124,1624980,1624980,1624980,1624980,1624980,1624980,1624980,1624980,1624980,0,0,0,5962,14409,34821,84151,178167,360185,427906,473054,525648,610137,693454,776771,873107,969443,1065778,1162114,1258450,1624980,1624980,1624980,0,0,0,5962,14409,34821,84151,178167,427718,677268,943069,1151995,1346412,1532124,1624980,1783482,1941984,2100486,2258988,2417490,3210000,3522764,3596985
DK2_Heating_2,DK2,150,D_DK2_HEAT,0,0,21092,33201,55397,97978,183687,227682,362290,450183,611615,849962,939046,1034833,1368294,1409298,1499772,1547106,1623215,1690629,1920768,2093508,2195509,0,0,0,33201,55397,97978,183687,227682,362290,450183,530899,650073,694615,742508,909239,929741,974978,998645,1036699,1070406,1185476,1271846,1322846,0,0,0,33201,55397,97978,183687,227682,338933,450183,627758,889940,987932,1093298,1460105,1505210,1604731,1656798,1740518,1814674,2067827,2257841,2370042
